Nombre,Numero,Posicion,Fecha_Nacimiento,Lugar_Nacimiento,Altura,Peso,Temporada,Equipo,Competicion,Iniciados,Bancas,Goles,Asistencias,Disparos,Al_Arco,Cometidas,Recibidas,Amarillas,Rojas
Facundo Quiroga,Número: 4 ,Posición: Defensa ,Fecha de nacimiento: 10/ene/1978 ,Lugar de nacimiento: San Luis ,Altura: 1.78m ,Peso: 76 kg ,"
Estadísticas 2004/05 ",Argentina,Copa Am,0,3,0,0,0,0,3,2,0,0
Facundo Quiroga,Número: 4 ,Posición: Defensa ,Fecha de nacimiento: 10/ene/1978 ,Lugar de nacimiento: San Luis ,Altura: 1.78m ,Peso: 76 kg ,Glosario ,"
						PI: Partidos Iniciados, SB: Substituto, G: Goles, GC: Asistencias, D: Disparos, DA: Disparos al arco, TA: Tarjetas Amarillas, TR: Tarjetas Rojas, FC: Faltas Cometidas, FR: Faltas Recibidas, AT: Atajadas, De: Fuera de Juego, G: Ganados, E: Empates, D: Derrotas
					",Copa Am,0,3,0,0,0,0,3,2,0,0
Gabriel Batistuta,Número: 9 ,Posición: Delantero ,Fecha de nacimiento: 1/feb/1969 ,"Lugar de nacimiento: Avellaneda, Argentina ",Altura: 1.85m ,Peso: 73 kg ,"
Estadísticas 2002/03 ",Argentina,WC,3,0,1,0,11,4,7,0,1,0
Gabriel Batistuta,Número: 9 ,Posición: Delantero ,Fecha de nacimiento: 1/feb/1969 ,"Lugar de nacimiento: Avellaneda, Argentina ",Altura: 1.85m ,Peso: 73 kg ,"
Estadísticas 2002/03 ",AS Roma,UCL,3,3,1,0,0,0,0,0,2,0
Gabriel Batistuta,Número: 9 ,Posición: Delantero ,Fecha de nacimiento: 1/feb/1969 ,"Lugar de nacimiento: Avellaneda, Argentina ",Altura: 1.85m ,Peso: 73 kg ,"
Estadísticas 2002/03 ",Inter Milan,Serie A,10,2,2,0,0,0,0,0,0,0
Gabriel Batistuta,Número: 9 ,Posición: Delantero ,Fecha de nacimiento: 1/feb/1969 ,"Lugar de nacimiento: Avellaneda, Argentina ",Altura: 1.85m ,Peso: 73 kg ,"
Estadísticas 2002/03 ",AS Roma,Serie A,6,6,4,0,0,0,0,0,1,0
Gabriel Batistuta,Número: 9 ,Posición: Delantero ,Fecha de nacimiento: 1/feb/1969 ,"Lugar de nacimiento: Avellaneda, Argentina ",Altura: 1.85m ,Peso: 73 kg ,"
Estadísticas 2001/02 ",AS Roma,Serie A,17,3,6,0,0,0,0,0,2,1
Gabriel Batistuta,Número: 9 ,Posición: Delantero ,Fecha de nacimiento: 1/feb/1969 ,"Lugar de nacimiento: Avellaneda, Argentina ",Altura: 1.85m ,Peso: 73 kg ,"
Estadísticas 2001/02 ",AS Roma,UCL,6,2,0,0,0,0,0,0,1,0
Gabriel Batistuta,Número: 9 ,Posición: Delantero ,Fecha de nacimiento: 1/feb/1969 ,"Lugar de nacimiento: Avellaneda, Argentina ",Altura: 1.85m ,Peso: 73 kg ,Glosario ,"
						PI: Partidos Iniciados, SB: Substituto, G: Goles, GC: Asistencias, D: Disparos, DA: Disparos al arco, TA: Tarjetas Amarillas, TR: Tarjetas Rojas, FC: Faltas Cometidas, FR: Faltas Recibidas, AT: Atajadas, De: Fuera de Juego, G: Ganados, E: Empates, D: Derrotas
					",UCL,6,2,0,0,0,0,0,0,1,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2011/12 ",Defensores de Belgrano,Prim B - Temporada Regular 2011/12,4,0,4,0,4,4,0,0,0,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2010/11 ",All Boys,Prim A - Clausura 2011,6,6,0,1,6,5,5,13,1,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2010/11 ",River Plate,Prim A - Apertura 2010,13,2,1,2,12,4,10,22,1,1
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2009/10 ",River Plate,Prim A - Clausura 2010,9,0,1,2,10,4,7,15,1,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2009/10 ",River Plate,Prim A - Apertura 2009,12,1,2,3,10,2,13,18,5,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2009/10 ",River Plate,Sud,2,0,0,0,1,0,2,0,0,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2008/09 ",Independiente Rivadavia,Nac B - 2008/09,15,1,4,0,4,4,0,0,6,3
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2007/08 ",River Plate,Lib,3,1,1,0,7,3,2,3,2,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2007/08 ",River Plate,Prim A - Clausura 2008,9,6,1,6,16,6,3,15,1,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2007/08 ",River Plate,Prim A - Apertura 2007,12,0,3,5,15,6,10,19,3,1
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2006/07 ",River Plate,Lib,1,1,0,0,0,0,2,4,1,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2006/07 ",River Plate,Prim A - Clausura 2007,4,2,1,0,1,1,4,7,1,1
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2006/07 ",River Plate,Prim A - Apertura 2006,7,5,0,4,2,1,5,10,2,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2005/06 ",Newell's Old Boys,Sud,1,0,0,0,0,0,1,4,0,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2005/06 ",Newell's Old Boys,Prim A - Clausura 2006,14,2,3,6,11,3,3,11,5,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2005/06 ",Newell's Old Boys,Prim A - Apertura 2005,14,0,3,2,2,2,3,5,3,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2005/06 ",Newell's Old Boys,Lib,6,0,0,0,0,0,2,15,2,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 2002/03 ",Argentina,WC,3,0,0,1,2,2,3,15,0,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 1998/99 ",Argentina,WC,5,0,0,0,0,0,0,0,2,1
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,"
Estadísticas 1994/95 ",Argentina,WC,1,0,0,0,0,0,0,0,0,0
Ariel Ortega,Nombre Completo: Ariel Arnaldo Ortega ,Número: 10 ,Edad: 40 ,Fecha de nacimiento: 4/mar/1974 ,"Lugar de nacimiento: Ledasma, Argentina ",Altura: 1.70m ,Glosario ,"
						PI: Partidos Iniciados, SB: Substituto, G: Goles, GC: Asistencias, D: Disparos, DA: Disparos al arco, TA: Tarjetas Amarillas, TR: Tarjetas Rojas, FC: Faltas Cometidas, FR: Faltas Recibidas, AT: Atajadas, De: Fuera de Juego, G: Ganados, E: Empates, D: Derrotas
					",WC,1,0,0,0,0,0,0,0,0,0
Juan Sebastián Verón,Número: 11 ,Posición: Volante ,Fecha de nacimiento: 3/sep/1975 ,"Lugar de nacimiento: La Plata, Argentina ",Altura: 1.86m ,Peso: 80 kg ,"
Estadísticas 2002/03 ",Argentina,WC,2,0,0,1,2,2,2,6,0,0
Juan Sebastián Verón,Número: 11 ,Posición: Volante ,Fecha de nacimiento: 3/sep/1975 ,"Lugar de nacimiento: La Plata, Argentina ",Altura: 1.86m ,Peso: 80 kg ,Glosario ,"
						PI: Partidos Iniciados, SB: Substituto, G: Goles, GC: Asistencias, D: Disparos, DA: Disparos al arco, TA: Tarjetas Amarillas, TR: Tarjetas Rojas, FC: Faltas Cometidas, FR: Faltas Recibidas, AT: Atajadas, De: Fuera de Juego, G: Ganados, E: Empates, D: Derrotas
					",WC,2,0,0,1,2,2,2,6,0,0
Matías Jesús Almeyda,Número: 5 ,Posición: Volante ,Fecha de nacimiento: 21/dic/1973 ,"Lugar de nacimiento: Azul, Argentina ",Altura: 1.74m ,Peso: 72 kg ,"
Estadísticas 2002/03 ",Argentina,WC,1,0,0,0,2,0,3,0,1,0
